Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Date Started,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
865,The Alchemist,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,61122416,9.78006E+12,5,3.82,HarperCollins,Paperback,197,1993,1988,2/1/2014,4/30/2014,1/20/2014,,,read,,,,1,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,055358202X,9.78055E+12,4,4.1,Bantam Books,Mass Market Paperback,1061,2011,2005,7/1/2014,7/26/2014,6/7/2014,,,read,,,,1,,,0,,,,,
10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,"Martin, George R.R.",,553381695,9.78055E+12,5,4.4,Bantam,Paperback,761,2002,1998,5/15/2014,7/26/2014,4/21/2014,,,read,,,,1,,,0,,,,,
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,553588486,9.78055E+12,5,4.45,Bantam,Mass Market Paperback,848,2005,1996,4/21/2014,7/26/2014,4/1/2014,,,read,,,,1,,,0,,,,,
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,"Martin, George R.R.",,055357342X,9.78055E+12,5,4.54,Bantam,Mass Market Paperback,1177,2003,2000,6/7/2014,7/26/2014,5/15/2014,,,read,,,,1,,,0,,,,,
8921,The Hound of the Baskervilles,Arthur Conan Doyle,"Doyle, Arthur Conan","Anne Perry, Maria Buitoni Duca, Sidney Paget",451528018,9.78045E+12,5,4.09,Signet,Mass Market Paperback,256,2001,1902,,8/12/2014,,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,307277674,9.78031E+12,4,3.79,Anchor,Paperback,481,2006,2003,,8/12/2014,,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,545010225,9.78055E+12,5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,4/30/2014,,,,read,,,,1,,,0,,,,,
43035,White Fang,Jack London,"London, Jack",,439236193,9.78044E+12,4,3.94,Scholastic Paperbacks,Paperback,252,2001,1906,,9/26/2013,,,,read,,,,1,,,0,,,,,
7677,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,030734813X,9.78031E+12,3,3.97,Plaza y Janes,Mass Market Paperback,480,2006,1990,,10/8/2012,,,,read,,,,1,,,0,,,,,
7144426,"The Bourne Objective (Jason Bourne, #8)",Eric Van Lustbader,"Lustbader, Eric Van",Robert Ludlum,446539813,9.78045E+12,2,4.07,Grand Central Publishing,Hardcover,437,2010,2010,,10/8/2012,,,,read,,,,1,,,0,,,,,
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,752864327,9.78075E+12,5,3.98,Orion,Paperback,566,2005,1980,,10/8/2012,,,,read,,,,1,,,0,,,,,
15769,"The Bourne Supremacy (Jason Bourne, #2)",Robert Ludlum,"Ludlum, Robert",,752863886,9.78075E+12,5,4.1,Orion,Mass Market Paperback,688,2004,1986,,10/8/2012,,,,read,,,,1,,,0,,,,,
11125,Digital Fortress,Dan Brown,"Brown, Dan",,552151696,9.78055E+12,4,3.61,Corgi books,Paperback,510,2004,1998,,10/8/2012,,,,read,,,,1,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,671027387,9.78067E+12,4,3.67,Pocket Books,Paperback,556,2002,2001,,10/8/2012,,,,read,,,,1,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,1416524797,9.78142E+12,5,3.86,Pocket Books,Mass Market Paperback,736,2006,2000,,10/8/2012,,,,read,,,,1,,,0,,,,,
149049,The Fountains of Paradise,Arthur C. Clarke,"Clarke, Arthur C.",,446677949,9.78045E+12,3,3.96,Aspect,Paperback,352,2001,1979,,10/8/2012,,,,read,,,,1,,,0,,,,,
41821,The Gods Themselves,Isaac Asimov,"Asimov, Isaac",,1857989341,9.78186E+12,5,4.08,Millenium,Paperback,288,2000,1972,,10/8/2012,,,,read,,,,1,,,0,,,,,
414999,Childhood's End,Arthur C. Clarke,"Clarke, Arthur C.",,345347951,9.78035E+12,4,4.09,Del Rey Books,Mass Market Paperback,224,1987,1953,,10/8/2012,,,,read,,,,1,,,0,,,,,
509784,The End of Eternity,Isaac Asimov,"Asimov, Isaac",,449016196,9.78045E+12,5,4.21,Fawcett Crest,Mass Market Paperback,192,1971,1955,,10/8/2012,,,,read,,,,1,,,0,,,,,
32831,"The Mysterious Island (Extraordinary Voyages, #12)",Jules Verne,"Verne, Jules","Caleb Carr, Jordan Stump",812972120,9.78081E+12,5,4.08,Modern Library,Paperback,723,2004,1874,,10/8/2012,,,,read,,,,1,,,0,,,,,
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,451457994,9.78045E+12,4,4.12,Roc,Paperback,297,2000,1968,,10/8/2012,,,,read,,,,1,,,0,,,,,
40425,"Tarzan of the Apes (Tarzan, #1)",Edgar Rice Burroughs,"Burroughs, Edgar Rice",,809599813,9.78081E+12,4,3.88,Wildside Press,Paperback,324,2003,1912,,10/8/2012,,,,read,,,,1,,,0,,,,,
10155,"The Lost World (Professor Challenger, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,812967259,9.78081E+12,4,3.92,Modern Library,Paperback,272,2003,1912,,10/8/2012,,,,read,,,,1,,,0,,,,,
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Mervyn Peake, Dan Chaon",451528956,9.78045E+12,5,3.79,Signet Classics,Paperback,144,2003,1886,,10/8/2012,,,,read,,,,1,,,0,,,,,
32829,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,"Verne, Jules",,553213970,9.78055E+12,5,3.84,Bantam,Paperback,240,2006,1864,,10/8/2012,,,,read,,,,1,,,0,,,,,
41804,"I, Robot (Robot #0.1)",Isaac Asimov,"Asimov, Isaac",,553803700,9.78055E+12,5,4.17,Spectra,Hardcover,224,2004,1950,,10/8/2012,,,,read,,,,1,,,0,,,,,
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti",451528557,9.78045E+12,5,3.87,Signet Classics,Paperback,118,2002,1895,,10/8/2012,,,,read,,,,1,,,0,,,,,
10644930,11/22/1963,Stephen King,"King, Stephen",,1451627289,9.78145E+12,3,4.29,Scribner,Hardcover,849,2011,2011,,10/8/2012,,,,read,,,,1,,,0,,,,,
11,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,345391802,9.78035E+12,5,4.2,Del Rey Books,Mass Market Paperback,216,1995,1979,,10/8/2012,,,,read,,,,1,,,0,,,,,
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,"Vinge, Vernor",,812515285,9.78081E+12,3,4.13,Tor Science Fiction,Mass Market Paperback,613,1993,1992,,10/8/2012,,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,439023483,9.78044E+12,4,4.34,Scholastic Press,Hardcover,374,2008,2008,,10/8/2012,,,,read,,,,1,,,0,,,,,
38503,Tales of Ordinary Madness,Charles Bukowski,"Bukowski, Charles",,872861554,9.78087E+12,0,3.99,City Lights Publishers,Paperback,238,2001,1978,,12/3/2017,,to-read,to-read (#340),to-read,,,,0,,,0,,,,,
30199656,What to Say Next,Julie Buxbaum,"Buxbaum, Julie",,553535684,9.78055E+12,0,4.15,Delacorte Press,Hardcover,292,2017,2017,,12/3/2017,,to-read,to-read (#339),to-read,,,,0,,,0,,,,,
7226916,The Pursuit of Diarmuid and Grainne / The Exile of the Sons of Uisliu,Standish H. O'Grady,"O'Grady, Standish H.","Arthur Herbert Leahy, T.E. Kinsella",976115743,9.78098E+12,0,3.82,Old Baldy Press,Paperback,190,2009,2009,,11/22/2017,,to-read,to-read (#338),to-read,,,,0,,,0,,,,,
27845690,The Course of Love,Alain de Botton,"Botton, Alain de",,241145473,9.78024E+12,0,4.02,Hamish Hamilton,Hardcover,240,2016,2016,,11/19/2017,,to-read,to-read (#337),to-read,,,,0,,,0,,,,,
35106064,The Loneliest Robot,Andrew Glennon,"Glennon, Andrew",Matt Dixon,,,0,4.08,Andrew Glennon,Kindle Edition,181,2017,2017,,7/9/2017,,"on-hold, to-read","on-hold (#4), to-read (#336)",to-read,,,,0,,,0,,,,,
32911707,Heretics!: The Wondrous (and Dangerous) Beginnings of Modern Philosophy,Steven Nadler,"Nadler, Steven",Ben Nadler,691168695,9.78069E+12,0,3.86,Princeton University Press,Paperback,184,2017,,,10/28/2017,,to-read,to-read (#335),to-read,,,,0,,,0,,,,,
6493321,Logicomix: An Epic Search for Truth,Apostolos Doxiadis,"Doxiadis, Apostolos","Christos H. Papadimitriou, Alecos Papadatos, Annie Di Donna",1596914521,9.7816E+12,0,4.01,Bloomsbury (NYC),Paperback,352,2009,2009,,10/28/2017,,to-read,to-read (#334),to-read,,,,0,,,0,,,,,
